,fecha,Remit,Tipo,Len,dia
0,2016-11-22 17:09:00,Dan Bb,Texto,108,0.0
1,2016-11-22 17:11:00,Jesus Pa,Texto,21,0.001388888888888889
2,2016-11-22 17:44:00,Fernanda Gomh,Texto,41,0.024305555555555556
3,2016-11-22 17:52:00,Nad,Texto,19,0.029861111111111113
4,2016-11-22 19:07:00,Fernanda Gomh,Multimedia,0,0.08194444444444444
5,2016-11-22 19:50:00,Jesus Pa,Texto,15,0.11180555555555556
6,2016-11-22 20:13:00,Dan Bb,Texto,18,0.12777777777777777
7,2016-11-22 20:32:00,Nad,Texto,28,0.14097222222222222
8,2016-11-22 21:37:00,Angie Ma,Texto,12,0.18611111111111112
9,2016-11-24 18:37:00,Angie Ma,Texto,121,2.061111111111111
10,2016-11-24 18:38:00,Dan Bb,Texto,71,2.0618055555555554
11,2016-11-24 18:50:00,Nad,Texto,61,2.0701388888888888
12,2016-11-24 18:50:00,Nad,Texto,21,2.0701388888888888
13,2016-11-24 18:50:00,Nad,Texto,5,2.0701388888888888
14,2016-11-24 18:58:00,Fernanda Gomh,Multimedia,0,2.0756944444444443
15,2016-11-24 18:59:00,Nad,Texto,11,2.076388888888889
16,2016-11-24 18:59:00,Nad,Texto,14,2.076388888888889
17,2016-11-24 19:02:00,Fernanda Gomh,Texto,2,2.078472222222222
18,2016-11-24 19:02:00,Fernanda Gomh,Texto,41,2.078472222222222
19,2016-11-24 19:02:00,Fernanda Gomh,Texto,76,2.078472222222222
20,2016-11-24 19:19:00,Nad,Texto,17,2.0902777777777777
21,2016-11-24 19:19:00,Nad,Texto,19,2.0902777777777777
22,2016-11-26 16:13:00,Dan Bb,Texto,114,3.9611111111111112
23,2016-11-26 16:14:00,Fernanda Gomh,Texto,9,3.9618055555555554
24,2016-11-26 16:14:00,Fernanda Gomh,Texto,8,3.9618055555555554
25,2016-11-26 16:15:00,Angie Ma,Texto,34,3.9625
26,2016-11-26 16:17:00,Dan Bb,Texto,14,3.963888888888889
27,2016-11-26 19:38:00,Nad,Texto,11,4.103472222222222
28,2016-11-26 19:38:00,Nad,Texto,10,4.103472222222222
29,2016-11-26 19:39:00,Nad,Texto,12,4.104166666666667
30,2016-11-26 19:39:00,Angie Ma,Texto,17,4.104166666666667
31,2016-11-26 19:39:00,Nad,Texto,20,4.104166666666667
32,2016-11-26 19:39:00,Nad,Texto,26,4.104166666666667
33,2016-11-26 19:40:00,Angie Ma,Texto,11,4.104861111111111
34,2016-11-26 19:40:00,Nad,Texto,14,4.104861111111111
35,2016-11-26 19:40:00,Nad,Texto,1,4.104861111111111
36,2016-11-26 19:40:00,Fernanda Gomh,Texto,11,4.104861111111111
37,2016-11-26 19:40:00,Fernanda Gomh,Texto,13,4.104861111111111
38,2016-11-26 19:40:00,Nad,Texto,30,4.104861111111111
39,2016-11-26 19:40:00,Nad,Texto,24,4.104861111111111
40,2016-11-26 19:40:00,Nad,Texto,17,4.104861111111111
41,2016-11-26 19:40:00,Angie Ma,Texto,8,4.104861111111111
42,2016-11-26 19:41:00,Angie Ma,Texto,4,4.105555555555555
43,2016-11-26 19:41:00,Nad,Multimedia,0,4.105555555555555
44,2016-11-26 19:49:00,Fernanda Gomh,Texto,6,4.111111111111111
45,2016-11-26 22:19:00,Nad,Texto,26,4.215277777777778
